# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      75     0.02959     0.00376     0.00551    0.935131932   -0.074038210   -1.009170142
     1      75     0.06754     0.00376    -0.08626    0.976677753   -0.032151245   -1.008828998
     1      75     0.10548     0.00376    -0.17803    0.915585875   -0.081739781   -0.997325655
     1      75    -0.08423     0.00376     0.28081    0.926059011   -0.064850043   -0.990909054
     1      75    -0.04629     0.00376     0.18904    0.911346410   -0.086987089   -0.998333499
     1      75    -0.00835     0.00376     0.09727    0.948049460   -0.035583123   -0.983632583
     1      75     0.02959    -0.03385     0.09727    0.946193873   -0.063196333   -1.009390206
     1      75     0.06754    -0.03385     0.00551    0.962467653   -0.035244153   -0.997711806
     1      75     0.10548    -0.03385    -0.08626    0.995426452   -0.006289842   -1.001716294
     1      75     0.14342    -0.03385    -0.17803    0.915524190   -0.097570462   -1.013094652
     1      75    -0.04629    -0.03385     0.28081    0.958309448   -0.026869518   -0.985178966
     1      75    -0.00835    -0.03385     0.18904    0.911187609   -0.091760569   -1.002948178
     1      75     0.02959    -0.07147     0.18904    0.908849269   -0.084046249   -0.992895518
     1      75     0.06754    -0.07147     0.09727    0.967484180   -0.033215670   -1.000699850
     1      75     0.10548    -0.07147     0.00551    0.974327780   -0.004278022   -0.978605801
     1      75     0.14342    -0.07147    -0.08626    0.954958528   -0.051319466   -1.006277994
     1      75    -0.04629     0.15422    -0.17803    0.902612901   -0.085493712   -0.988106613
     1      75    -0.00835    -0.07147     0.28081    0.976587276    0.004268635   -0.972318641
     1      75     0.02959     0.11661    -0.26980    0.961762757   -0.016403282   -0.978166039
     1      75     0.06754    -0.10908     0.18904    0.905950731   -0.066568915   -0.972519646
     1      75     0.10548    -0.10908     0.09727    0.941154305   -0.042798454   -0.983952759
     1      75    -0.08423     0.11661     0.00551    0.942765513   -0.044422228   -0.987187741
     1      75    -0.04629     0.11661    -0.08626    0.942347649   -0.054185618   -0.996533268
     1      75    -0.00835     0.11661    -0.17803    0.906766881   -0.068678178   -0.975445059
     1      75     0.02959     0.07899    -0.17803    0.910215134   -0.086683956   -0.996899090
     1      75     0.06754     0.07899    -0.26980    0.941730797   -0.044172263   -0.985903060
     1      75    -0.12217     0.07899     0.18904    0.908402684   -0.089234578   -0.997637262
     1      75    -0.08423     0.07899     0.09727    0.974265628   -0.024371024   -0.998636652
     1      75    -0.04629     0.07899     0.00551    0.938171828   -0.058671485   -0.996843313
     1      75    -0.00835     0.07899    -0.08626    0.937641462   -0.059606417   -0.997247879
     1      75     0.02959     0.04138    -0.08626    0.946248394   -0.054249796   -1.000498189
     1      75     0.06754     0.04138    -0.17803    0.914527639   -0.077982935   -0.992510573
     1      75     0.10548     0.04138    -0.26980    0.919536981   -0.066651484   -0.986188465
     1      75    -0.08423     0.04138     0.18904    0.911012577   -0.085868570   -0.996881147
     1      75    -0.04629     0.04138     0.09727    0.953942331   -0.044636669   -0.998579000
     1      75    -0.00835     0.04138     0.00551    0.929647037   -0.071822353   -1.001469390
     1      75     0.06754     0.04138     0.00551    0.961093422   -0.036769589   -0.997863011
     1      75     0.10548     0.04138    -0.08626    0.993706855   -0.011120118   -1.004826972
