# Atom  dir  RPA_diag RPA_diag_offiag 
1 x -0.2136837478473286 -0.1719986967898561 
1 y 5.516696900371405e-06 2.2186453678014496e-06 
1 z 1.1449383560946437e-05 -3.1489463061640284e-05 
2 x 0.21367367552980085 0.17198582416119065 
2 y -6.898650903210381e-06 -3.390219676910465e-06 
2 z -1.116255145801949e-05 3.17893729611033e-05 
3 x -0.012809000558663118 -0.008298305711634384 
3 y -0.08935927208900515 -0.09724329272796074 
3 z -9.143958336446191e-05 -6.539940462232673e-05 
4 x -0.012796388534096375 -0.008270884264375881 
4 y 0.08935913826692095 0.09724553104312006 
4 z -9.527049472142748e-05 -7.926839580855768e-05 
5 x 0.01281084176583096 0.00829867690520762 
5 y 0.08937232722228879 0.09721589394217038 
5 z 9.134210429993914e-05 6.533901438013737e-05 
6 x 0.012797607771242099 0.008270669314996357 
6 y -0.08937014188978247 -0.0972162146967013 
6 z 9.492362074989508e-05 7.88693551529119e-05 
7 x 0.03414235086624529 0.04470775217806274 
7 y 1.3436436363711705e-06 9.601407695508957e-07 
7 z 0.0010271933614362187 0.0006996675558569353 
8 x -0.03412943673655626 -0.04472714850363023 
8 y -1.805951803134779e-06 -1.4464138440464084e-06 
8 z -0.0010279167608135762 -0.0007003845869174155 
9 x 0.06121354896870918 0.030590575404616197 
9 y -2.293443999434193e-05 -2.0681252798002496e-05 
9 z -0.00011795643236624923 -0.00011160842800352622 
10 x -0.061222988377133476 -0.03056851038976475 
10 y 2.231777444301242e-05 2.0070468083090178e-05 
10 z 0.00011743154297540801 0.0001110826245160983 
11 x -0.01193770191465329 -0.011371292108109507 
11 y 0.0015965450501273875 0.001786124527997002 
11 z 1.1525018232414523e-05 1.1183001055568296e-05 
12 x -0.011942777677498321 -0.011430867674944556 
12 y -0.001598410070713792 -0.0017837733789555733 
12 z 1.3832147695334894e-05 4.31577385744717e-05 
13 x 0.011938611898287741 0.011369680868270532 
13 y -0.0015977034018132671 -0.0017862664713043331 
13 z -1.1525213500179494e-05 -1.1128461948394643e-05 
14 x 0.011943966921901663 0.011429493032444758 
14 y 0.001599508040223017 0.001783847003516 
14 z -1.3817548638742188e-05 -4.319325762142045e-05 
15 x -0.00463547299823418 -0.0034898520410791213 
15 y -0.013132036958005962 -0.012933998265707812 
15 z -8.14648490643481e-06 -3.331970478421644e-05 
16 x -0.0046343743255728405 -0.003476834794662245 
