# q=  0.16000000E-02  0.20000000E-03 -0.20000000E-03  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.33750427E-08     -0.29492081E-07     -0.16695453E-05     -0.61817926E-03
       2     -0.65694183E-08     -0.29492081E-07     -0.35035467E-05     -0.61817926E-03
       3     -0.88884443E-08     -0.29492081E-07     -0.55373995E-05     -0.61817926E-03
       4     -0.11004546E-07     -0.29492081E-07     -0.73780890E-05     -0.61817926E-03
       5     -0.12129588E-07     -0.29492081E-07     -0.10136479E-04     -0.61817926E-03
       6     -0.13365134E-07     -0.29492081E-07     -0.12517062E-04     -0.61817926E-03
       7     -0.13893345E-07     -0.29492081E-07     -0.17431623E-04     -0.61817926E-03
       8     -0.14323856E-07     -0.29492081E-07     -0.21605686E-04     -0.61817926E-03
       9     -0.14780264E-07     -0.29492081E-07     -0.25490955E-04     -0.61817926E-03
      10     -0.15110814E-07     -0.29492081E-07     -0.29123287E-04     -0.61817926E-03
      11     -0.15548732E-07     -0.29492081E-07     -0.32691124E-04     -0.61817926E-03
      12     -0.15964904E-07     -0.29492081E-07     -0.35814397E-04     -0.61817926E-03
      13     -0.16355048E-07     -0.29492081E-07     -0.38516200E-04     -0.61817926E-03
      14     -0.16740274E-07     -0.29492081E-07     -0.40924897E-04     -0.61817926E-03
      15     -0.17137482E-07     -0.29492081E-07     -0.43396996E-04     -0.61817926E-03
      16     -0.17508073E-07     -0.29492081E-07     -0.45873955E-04     -0.61817926E-03
      17     -0.17846166E-07     -0.29492081E-07     -0.48387325E-04     -0.61817926E-03
      18     -0.18172812E-07     -0.29492081E-07     -0.51981544E-04     -0.61817926E-03
      19     -0.18513351E-07     -0.29492081E-07     -0.55004141E-04     -0.61817926E-03
      20     -0.18838166E-07     -0.29492081E-07     -0.57593729E-04     -0.61817926E-03
      21     -0.19179053E-07     -0.29492081E-07     -0.60016137E-04     -0.61817926E-03
      22     -0.19449028E-07     -0.29492081E-07     -0.62570831E-04     -0.61817926E-03
      23     -0.19742805E-07     -0.29492081E-07     -0.65291702E-04     -0.61817926E-03
      24     -0.20021230E-07     -0.29492081E-07     -0.68089241E-04     -0.61817926E-03
      25     -0.20292681E-07     -0.29492081E-07     -0.70908480E-04     -0.61817926E-03
      26     -0.20559366E-07     -0.29492081E-07     -0.73449739E-04     -0.61817926E-03
      27     -0.20804308E-07     -0.29492081E-07     -0.76546657E-04     -0.61817926E-03
      28     -0.21030974E-07     -0.29492081E-07     -0.78995549E-04     -0.61817926E-03
      29     -0.21262187E-07     -0.29492081E-07     -0.82081161E-04     -0.61817926E-03
      30     -0.21489125E-07     -0.29492081E-07     -0.84995236E-04     -0.61817926E-03
      31     -0.21717228E-07     -0.29492081E-07     -0.87961025E-04     -0.61817926E-03
      32     -0.21937249E-07     -0.29492081E-07     -0.90886261E-04     -0.61817926E-03
      33     -0.22139390E-07     -0.29492081E-07     -0.94354132E-04     -0.61817926E-03
      34     -0.22354250E-07     -0.29492081E-07     -0.97539764E-04     -0.61817926E-03
      35     -0.22545302E-07     -0.29492081E-07     -0.10080977E-03     -0.61817926E-03
      36     -0.22734154E-07     -0.29492081E-07     -0.10419977E-03     -0.61817926E-03
      37     -0.22930040E-07     -0.29492081E-07     -0.10725385E-03     -0.61817926E-03
      38     -0.23096150E-07     -0.29492081E-07     -0.11233889E-03     -0.61817926E-03
      39     -0.23264116E-07     -0.29492081E-07     -0.11796309E-03     -0.61817926E-03
      40     -0.23431670E-07     -0.29492081E-07     -0.12283814E-03     -0.61817926E-03
      41     -0.23588677E-07     -0.29492081E-07     -0.12834042E-03     -0.61817926E-03
      42     -0.23737104E-07     -0.29492081E-07     -0.13364426E-03     -0.61817926E-03
      43     -0.23896987E-07     -0.29492081E-07     -0.13957732E-03     -0.61817926E-03
      44     -0.24050131E-07     -0.29492081E-07     -0.14397149E-03     -0.61817926E-03
      45     -0.24199694E-07     -0.29492081E-07     -0.14828789E-03     -0.61817926E-03
      46     -0.24335809E-07     -0.29492081E-07     -0.15250605E-03     -0.61817926E-03
      47     -0.24469360E-07     -0.29492081E-07     -0.15663236E-03     -0.61817926E-03
      48     -0.24595843E-07     -0.29492081E-07     -0.16015951E-03     -0.61817926E-03
      49     -0.24732265E-07     -0.29492081E-07     -0.16357004E-03     -0.61817926E-03
      50     -0.24856337E-07     -0.29492081E-07     -0.16691943E-03     -0.61817926E-03
      51     -0.24973511E-07     -0.29492081E-07     -0.17030861E-03     -0.61817926E-03
      52     -0.25091218E-07     -0.29492081E-07     -0.17340052E-03     -0.61817926E-03
      53     -0.25203883E-07     -0.29492081E-07     -0.17676755E-03     -0.61817926E-03
      54     -0.25313673E-07     -0.29492081E-07     -0.18001460E-03     -0.61817926E-03
      55     -0.25412523E-07     -0.29492081E-07     -0.18318889E-03     -0.61817926E-03
      56     -0.25519082E-07     -0.29492081E-07     -0.18582487E-03     -0.61817926E-03
      57     -0.25617184E-07     -0.29492081E-07     -0.18822013E-03     -0.61817926E-03
      58     -0.25706350E-07     -0.29492081E-07     -0.19051382E-03     -0.61817926E-03
      59     -0.25791696E-07     -0.29492081E-07     -0.19299972E-03     -0.61817926E-03
      60     -0.25879910E-07     -0.29492081E-07     -0.19525344E-03     -0.61817926E-03
      61     -0.25963948E-07     -0.29492081E-07     -0.19772350E-03     -0.61817926E-03
      62     -0.26041647E-07     -0.29492081E-07     -0.20018173E-03     -0.61817926E-03
      63     -0.26123048E-07     -0.29492081E-07     -0.20262451E-03     -0.61817926E-03
      64     -0.26201374E-07     -0.29492081E-07     -0.20464767E-03     -0.61817926E-03
      65     -0.26278282E-07     -0.29492081E-07     -0.20721490E-03     -0.61817926E-03
      66     -0.26351726E-07     -0.29492081E-07     -0.20924108E-03     -0.61817926E-03
      67     -0.26425493E-07     -0.29492081E-07     -0.21175841E-03     -0.61817926E-03
      68     -0.26487930E-07     -0.29492081E-07     -0.21406267E-03     -0.61817926E-03
      69     -0.26546044E-07     -0.29492081E-07     -0.21602396E-03     -0.61817926E-03
      70     -0.26606469E-07     -0.29492081E-07     -0.21821792E-03     -0.61817926E-03
      71     -0.26661762E-07     -0.29492081E-07     -0.22045981E-03     -0.61817926E-03
      72     -0.26713606E-07     -0.29492081E-07     -0.22245925E-03     -0.61817926E-03
      73     -0.26768457E-07     -0.29492081E-07     -0.22444756E-03     -0.61817926E-03
      74     -0.26821469E-07     -0.29492081E-07     -0.22621007E-03     -0.61817926E-03
      75     -0.26874216E-07     -0.29492081E-07     -0.22791546E-03     -0.61817926E-03
      76     -0.26922810E-07     -0.29492081E-07     -0.22989556E-03     -0.61817926E-03
      77     -0.26971500E-07     -0.29492081E-07     -0.23188036E-03     -0.61817926E-03
      78     -0.27017502E-07     -0.29492081E-07     -0.23373986E-03     -0.61817926E-03
      79     -0.27060657E-07     -0.29492081E-07     -0.23572165E-03     -0.61817926E-03
      80     -0.27103419E-07     -0.29492081E-07     -0.23747131E-03     -0.61817926E-03
      81     -0.27142762E-07     -0.29492081E-07     -0.23943414E-03     -0.61817926E-03
      82     -0.27183539E-07     -0.29492081E-07     -0.24123268E-03     -0.61817926E-03
      83     -0.27223914E-07     -0.29492081E-07     -0.24294515E-03     -0.61817926E-03
      84     -0.27264484E-07     -0.29492081E-07     -0.24478302E-03     -0.61817926E-03
      85     -0.27300259E-07     -0.29492081E-07     -0.24670032E-03     -0.61817926E-03
      86     -0.27334319E-07     -0.29492081E-07     -0.24848733E-03     -0.61817926E-03
      87     -0.27368916E-07     -0.29492081E-07     -0.25014494E-03     -0.61817926E-03
      88     -0.27404196E-07     -0.29492081E-07     -0.25185996E-03     -0.61817926E-03
      89     -0.27436307E-07     -0.29492081E-07     -0.25373344E-03     -0.61817926E-03
      90     -0.27465847E-07     -0.29492081E-07     -0.25546820E-03     -0.61817926E-03
      91     -0.27499027E-07     -0.29492081E-07     -0.25702735E-03     -0.61817926E-03
      92     -0.27530454E-07     -0.29492081E-07     -0.25853438E-03     -0.61817926E-03
      93     -0.27560434E-07     -0.29492081E-07     -0.26013333E-03     -0.61817926E-03
      94     -0.27590735E-07     -0.29492081E-07     -0.26159124E-03     -0.61817926E-03
      95     -0.27621818E-07     -0.29492081E-07     -0.26303428E-03     -0.61817926E-03
      96     -0.27651038E-07     -0.29492081E-07     -0.26465613E-03     -0.61817926E-03
      97     -0.27678439E-07     -0.29492081E-07     -0.26615336E-03     -0.61817926E-03
      98     -0.27703630E-07     -0.29492081E-07     -0.26777146E-03     -0.61817926E-03
      99     -0.27728470E-07     -0.29492081E-07     -0.26938678E-03     -0.61817926E-03
     100     -0.27754180E-07     -0.29492081E-07     -0.27097175E-03     -0.61817926E-03
     101     -0.27778510E-07     -0.29492081E-07     -0.27249548E-03     -0.61817926E-03
     102     -0.27801627E-07     -0.29492081E-07     -0.27405685E-03     -0.61817926E-03
     103     -0.27823964E-07     -0.29492081E-07     -0.27555763E-03     -0.61817926E-03
