# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.24808800E+00  -6.80374616E+00   4.44341836E-01
# Error est. for CH(vbm) CH(cbm) diff =   8.62079440E-01   8.59145881E-01  -2.93355948E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.59427216E-03  -7.07904595E-03  -4.48477379E-03
      2  -5.23234642E-03  -1.38495365E-02  -8.61719012E-03
      3  -8.13815812E-03  -2.06752308E-02  -1.25370727E-02
      4  -1.09286468E-02  -2.73783453E-02  -1.64496985E-02
      5  -1.71960838E-02  -7.26800763E-02  -5.54839925E-02
      6  -2.37443385E-02  -8.72585625E-02  -6.35142241E-02
      7  -3.20157978E-02  -1.89348172E-01  -1.57332374E-01
      8  -4.10708799E-02  -2.55998181E-01  -2.14927301E-01
      9  -4.54919482E-02  -3.64078210E-01  -3.18586262E-01
     10  -4.88117776E-02  -3.95984613E-01  -3.47172835E-01
     11  -5.14529453E-02  -3.98163784E-01  -3.46710838E-01
     12  -5.53856569E-02  -4.79272334E-01  -4.23886677E-01
     13  -5.82072926E-02  -5.83230356E-01  -5.25023064E-01
     14  -6.13185827E-02  -7.12556378E-01  -6.51237796E-01
     15  -6.26847712E-02  -7.20385377E-01  -6.57700606E-01
     16  -6.40143493E-02  -7.27880901E-01  -6.63866551E-01
     17  -1.15378462E-01  -7.56407370E-01  -6.41028908E-01
     18  -1.64783311E-01  -7.84865911E-01  -6.20082599E-01
     19  -3.50136197E-01  -7.91304268E-01  -4.41168072E-01
     20  -5.42271950E-01  -8.00195429E-01  -2.57923479E-01
     21  -7.21919744E-01  -8.10596143E-01  -8.86763994E-02
     22  -9.01108033E-01  -8.22127246E-01   7.89807874E-02
     23  -9.97463135E-01  -9.08488755E-01   8.89743801E-02
     24  -1.09868635E+00  -9.95765734E-01   1.02920619E-01
     25  -1.10663860E+00  -1.00658559E+00   1.00053006E-01
     26  -1.11296534E+00  -1.01328597E+00   9.96793730E-02
     27  -1.11873608E+00  -1.02188265E+00   9.68534246E-02
     28  -1.12331319E+00  -1.02906312E+00   9.42500763E-02
     29  -1.12637954E+00  -1.03415220E+00   9.22273384E-02
     30  -1.13060541E+00  -1.03894835E+00   9.16570643E-02
     31  -1.13553351E+00  -1.04114062E+00   9.43928916E-02
     32  -1.14015371E+00  -1.04293341E+00   9.72202991E-02
     33  -1.14505416E+00  -1.04595438E+00   9.90997751E-02
     34  -1.14949647E+00  -1.04809474E+00   1.01401734E-01
     35  -1.15124387E+00  -1.05499798E+00   9.62458851E-02
     36  -1.15240396E+00  -1.06184374E+00   9.05602168E-02
     37  -1.15408903E+00  -1.08245882E+00   7.16302103E-02
     38  -1.15560680E+00  -1.10191494E+00   5.36918639E-02
     39  -1.23700417E+00  -1.29999664E+00  -6.29924753E-02
     40  -1.30899041E+00  -1.48111851E+00  -1.72128096E-01
     41  -1.32264265E+00  -1.51781765E+00  -1.95174994E-01
     42  -1.33157335E+00  -1.54245107E+00  -2.10877719E-01
     43  -1.33376945E+00  -1.55717478E+00  -2.23405338E-01
     44  -1.33470423E+00  -1.56848506E+00  -2.33780831E-01
     45  -1.33592714E+00  -1.57201812E+00  -2.36090971E-01
     46  -1.33661427E+00  -1.57442359E+00  -2.37809323E-01
     47  -1.33944645E+00  -1.58570955E+00  -2.46263100E-01
     48  -1.34235321E+00  -1.59725866E+00  -2.54905446E-01
     49  -1.34524877E+00  -1.60576480E+00  -2.60516035E-01
     50  -1.34759992E+00  -1.61270316E+00  -2.65103242E-01
     51  -1.35115257E+00  -1.62267189E+00  -2.71519318E-01
     52  -1.35340896E+00  -1.63104338E+00  -2.77634425E-01
     53  -1.35513580E+00  -1.63714909E+00  -2.82013291E-01
