# k =   0.250000  -0.000000  -0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.53884461E+00  -7.31094025E+00   2.27904361E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.76322792E-01   8.47958932E-01  -1.28363860E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -5.94256227E-04  -7.08220387E-04  -1.13964161E-04
      2  -1.15765511E-03  -1.38834396E-03  -2.30688847E-04
      3  -1.78319696E-03  -2.08909418E-03  -3.05897229E-04
      4  -2.38811178E-03  -2.78633839E-03  -3.98226606E-04
      5  -5.61349596E-02  -3.80343794E-02   1.81005802E-02
      6  -1.00729977E-01  -8.23575821E-02   1.83723951E-02
      7  -1.05452136E-01  -1.99469323E-01  -9.40171877E-02
      8  -1.10840305E-01  -2.93251110E-01  -1.82410804E-01
      9  -1.13979559E-01  -4.20878129E-01  -3.06898571E-01
     10  -1.22374094E-01  -5.56396365E-01  -4.34022271E-01
     11  -1.25771695E-01  -6.66639363E-01  -5.40867669E-01
     12  -1.35987193E-01  -8.03182589E-01  -6.67195397E-01
     13  -1.47178796E-01  -8.06096146E-01  -6.58917350E-01
     14  -1.59763011E-01  -8.08729693E-01  -6.48966682E-01
     15  -1.60955907E-01  -8.09476470E-01  -6.48520563E-01
     16  -1.61988811E-01  -8.10226993E-01  -6.48238182E-01
     17  -2.86294457E-01  -9.30284323E-01  -6.43989866E-01
     18  -4.12470133E-01  -1.10179196E+00  -6.89321826E-01
     19  -4.43458602E-01  -1.10946374E+00  -6.66005140E-01
     20  -4.77605594E-01  -1.11726029E+00  -6.39654696E-01
     21  -5.18143793E-01  -1.13193527E+00  -6.13791481E-01
     22  -5.78407916E-01  -1.15908795E+00  -5.80680038E-01
     23  -7.64778144E-01  -1.17917128E+00  -4.14393133E-01
     24  -9.92945372E-01  -1.19787934E+00  -2.04933967E-01
     25  -1.03568603E+00  -1.20142484E+00  -1.65738813E-01
     26  -1.05574920E+00  -1.20332557E+00  -1.47576369E-01
     27  -1.06384934E+00  -1.20406925E+00  -1.40219905E-01
     28  -1.06811010E+00  -1.20454684E+00  -1.36436740E-01
     29  -1.06963323E+00  -1.20501419E+00  -1.35380958E-01
     30  -1.07111055E+00  -1.20544698E+00  -1.34336424E-01
     31  -1.07211299E+00  -1.20853503E+00  -1.36422043E-01
     32  -1.07293941E+00  -1.21118960E+00  -1.38250185E-01
     33  -1.07426179E+00  -1.21462213E+00  -1.40360335E-01
     34  -1.07530967E+00  -1.21759556E+00  -1.42285888E-01
     35  -1.07709605E+00  -1.21865684E+00  -1.41560786E-01
     36  -1.07831899E+00  -1.21915902E+00  -1.40840024E-01
     37  -1.12902990E+00  -1.30806711E+00  -1.79037216E-01
     38  -1.15749797E+00  -1.35508750E+00  -1.97589530E-01
     39  -1.22967199E+00  -1.47020174E+00  -2.40529758E-01
     40  -1.37628136E+00  -1.65072942E+00  -2.74448054E-01
     41  -1.42125650E+00  -1.69362223E+00  -2.72365726E-01
     42  -1.44460657E+00  -1.71415520E+00  -2.69548624E-01
     43  -1.44895397E+00  -1.71624902E+00  -2.67295046E-01
     44  -1.45118284E+00  -1.71670282E+00  -2.65519974E-01
     45  -1.45329416E+00  -1.72010515E+00  -2.66810989E-01
     46  -1.45505691E+00  -1.72338192E+00  -2.68325011E-01
     47  -1.46170767E+00  -1.72590533E+00  -2.64197656E-01
     48  -1.46633798E+00  -1.72805225E+00  -2.61714275E-01
     49  -1.46860183E+00  -1.72977660E+00  -2.61174769E-01
     50  -1.47114040E+00  -1.73214446E+00  -2.61004061E-01
     51  -1.47524963E+00  -1.73368384E+00  -2.58434217E-01
