# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.09497925E-04  -2.26288045E-03  -1.45338252E-03
      2  -1.60040202E-03  -4.54806095E-03  -2.94765892E-03
      3  -2.50966539E-03  -6.89989012E-03  -4.39022472E-03
      4  -3.37508903E-03  -9.23519714E-03  -5.86010812E-03
      5  -5.49361444E-02  -5.45925574E-02   3.43586960E-04
      6  -6.58556012E-02  -1.28627470E-01  -6.27718685E-02
      7  -7.14548517E-02  -3.20473153E-01  -2.49018301E-01
      8  -7.91506927E-02  -3.55453091E-01  -2.76302398E-01
      9  -8.14865043E-02  -5.73481086E-01  -4.91994582E-01
     10  -8.48334143E-02  -7.12761421E-01  -6.27928006E-01
     11  -8.98101203E-02  -7.19097832E-01  -6.29287712E-01
     12  -9.68022412E-02  -7.56694369E-01  -6.59892128E-01
     13  -9.78174742E-02  -7.61442479E-01  -6.63625004E-01
     14  -1.10354848E-01  -7.74743749E-01  -6.64388901E-01
     15  -1.11656380E-01  -7.77325302E-01  -6.65668922E-01
     16  -1.12778185E-01  -7.79887357E-01  -6.67109173E-01
     17  -2.20973507E-01  -8.75307967E-01  -6.54334460E-01
     18  -2.82853171E-01  -9.90957757E-01  -7.08104586E-01
     19  -3.11577858E-01  -9.99057275E-01  -6.87479417E-01
     20  -3.73038362E-01  -1.00288971E+00  -6.29851349E-01
     21  -4.14922110E-01  -1.01778148E+00  -6.02859374E-01
     22  -4.80891356E-01  -1.04005697E+00  -5.59165615E-01
     23  -5.41340299E-01  -1.07680194E+00  -5.35461639E-01
     24  -9.42493681E-01  -1.09486649E+00  -1.52372809E-01
     25  -1.00185339E+00  -1.10060871E+00  -9.87553243E-02
     26  -1.03035283E+00  -1.10430941E+00  -7.39565852E-02
     27  -1.03943326E+00  -1.10716192E+00  -6.77286613E-02
     28  -1.04410647E+00  -1.10959886E+00  -6.54923811E-02
     29  -1.04538497E+00  -1.11351264E+00  -6.81276676E-02
     30  -1.04674594E+00  -1.11728418E+00  -7.05382338E-02
     31  -1.04947944E+00  -1.11985165E+00  -7.03722153E-02
     32  -1.05207533E+00  -1.12196963E+00  -6.98942930E-02
     33  -1.05534398E+00  -1.12467800E+00  -6.93340191E-02
     34  -1.05833755E+00  -1.12683523E+00  -6.84976839E-02
     35  -1.06021422E+00  -1.12890334E+00  -6.86891236E-02
     36  -1.06150050E+00  -1.13016956E+00  -6.86690625E-02
     37  -1.11120054E+00  -1.22409938E+00  -1.12898846E-01
     38  -1.13956470E+00  -1.27300532E+00  -1.33440621E-01
     39  -1.20195357E+00  -1.39714972E+00  -1.95196149E-01
     40  -1.31001198E+00  -1.61664496E+00  -3.06632981E-01
     41  -1.33719868E+00  -1.68431730E+00  -3.47118623E-01
     42  -1.35051514E+00  -1.71836391E+00  -3.67848767E-01
     43  -1.35316575E+00  -1.72304862E+00  -3.69882868E-01
     44  -1.35433134E+00  -1.72533836E+00  -3.71007025E-01
     45  -1.35738727E+00  -1.72813390E+00  -3.70746624E-01
     46  -1.35972358E+00  -1.73087090E+00  -3.71147324E-01
     47  -1.36843085E+00  -1.73466084E+00  -3.66229985E-01
     48  -1.37326713E+00  -1.73816466E+00  -3.64897529E-01
     49  -1.37702054E+00  -1.74093507E+00  -3.63914533E-01
     50  -1.38197274E+00  -1.74380178E+00  -3.61829042E-01
     51  -1.38743865E+00  -1.74613163E+00  -3.58692982E-01
     52  -1.39375846E+00  -1.74804039E+00  -3.54281928E-01
     53  -1.39810623E+00  -1.74943801E+00  -3.51331778E-01
     54  -1.40353974E+00  -1.75063148E+00  -3.47091744E-01
     55  -1.40839718E+00  -1.75691552E+00  -3.48518344E-01
     56  -1.41111309E+00  -1.76149473E+00  -3.50381643E-01
     57  -1.41384577E+00  -1.76376816E+00  -3.49922392E-01
     58  -1.41616689E+00  -1.76618796E+00  -3.50021072E-01
     59  -1.46078086E+00  -1.87792177E+00  -4.17140905E-01
     60  -1.63034734E+00  -1.91365664E+00  -2.83309293E-01
     61  -1.84487465E+00  -1.99496113E+00  -1.50086484E-01
     62  -2.06405864E+00  -2.06322761E+00   8.31028731E-04
     63  -2.11434875E+00  -2.08741965E+00   2.69291020E-02
     64  -2.14710023E+00  -2.13096175E+00   1.61384811E-02
     65  -2.16764572E+00  -2.14556812E+00   2.20776008E-02
     66  -2.18561439E+00  -2.16029335E+00   2.53210430E-02
     67  -2.19529558E+00  -2.18434462E+00   1.09509608E-02
     68  -2.22137785E+00  -2.20598478E+00   1.53930656E-02
     69  -2.23906690E+00  -2.21766972E+00   2.13971790E-02
     70  -2.30090077E+00  -2.23401366E+00   6.68871030E-02
     71  -2.36315895E+00  -2.24697717E+00   1.16181778E-01
     72  -2.49924282E+00  -2.25810362E+00   2.41139193E-01
     73  -2.56582621E+00  -2.26427091E+00   3.01555297E-01
     74  -2.59763380E+00  -2.30391260E+00   2.93721200E-01
     75  -2.62681246E+00  -2.36393175E+00   2.62880706E-01
     76  -2.65711692E+00  -2.37560546E+00   2.81511462E-01
     77  -2.68547856E+00  -2.38245510E+00   3.03023469E-01
     78  -2.71930073E+00  -2.40627895E+00   3.13021787E-01
     79  -2.75726243E+00  -2.47111432E+00   2.86148110E-01
     80  -2.79127195E+00  -2.51892863E+00   2.72343322E-01
     81  -3.27978319E+00  -2.58136209E+00   6.98421106E-01
     82  -4.68234283E+00  -2.65709615E+00   2.02524669E+00
     83  -4.73647829E+00  -4.16840643E+00   5.68071861E-01
     84  -4.80146520E+00  -4.65244205E+00   1.49023152E-01
     85  -4.85577863E+00  -4.67896791E+00   1.76810725E-01
     86  -4.89073443E+00  -4.70151454E+00   1.89219886E-01
     87  -4.91167894E+00  -4.72498007E+00   1.86698874E-01
     88  -4.94347768E+00  -4.75919184E+00   1.84285838E-01
     89  -4.96529983E+00  -4.77267873E+00   1.92621103E-01
     90  -4.99206261E+00  -4.78923127E+00   2.02831334E-01
     91  -5.01481957E+00  -4.81222643E+00   2.02593140E-01
     92  -5.02675086E+00  -4.82936994E+00   1.97380920E-01
     93  -5.04291631E+00  -4.84671963E+00   1.96196677E-01
