     diagonalizing the dynamical matrix ...

 q =       0.0000      0.0000      0.0000
 **************************************************************************
     freq (    1) =      -1.494360 [THz] =     -49.846489 [cm-1]
 (  0.000000   0.000000    -0.009261   0.000000    -0.000000   0.000000   )
 (  0.000000   0.000000    -0.009261   0.000000    -0.000000   0.000000   )
 ( -0.025569   0.000000    -0.031010   0.000000     0.000000   0.000000   )
 (  0.025569   0.000000    -0.031010   0.000000    -0.000000   0.000000   )
 ( -0.025569   0.000000    -0.031010   0.000000     0.000000   0.000000   )
 (  0.025569   0.000000    -0.031010   0.000000    -0.000000   0.000000   )
 (  0.000000   0.000000     0.263284   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000     0.263284   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000    -0.030002   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000    -0.030002   0.000000     0.000000   0.000000   )
 ( -0.064948   0.000000    -0.126800   0.000000     0.000000   0.000000   )
 (  0.064947   0.000000    -0.126800   0.000000    -0.000000   0.000000   )
 ( -0.064948   
     Polarizability (A^3 units)
     multiply by 1.000000 for Clausius-Mossotti correction
         0.000000    0.000000    0.000000
         0.000000    0.000000    0.000000
         0.000000    0.000000    0.000000

     IR activities are in (D/A)^2/amu units

# mode   [cm-1]    [THz]      IR
    1    -49.85   -1.4944    0.0000
    2    -40.65   -1.2186    0.0000
    3    -32.02   -0.9601    0.0000
    4     -0.00   -0.0000    0.0000
    5     -0.00   -0.0000    0.0000
    6      0.00    0.0000    0.0000
    7     21.97    0.6587    0.0000
    8     32.04    0.9607    0.0000
    9     32.75    0.9818    0.0000
   10     33.88    1.0156    0.0000
   11     40.85    1.2247    0.0000
   12     43.06    1.2910    0.0000
   13     43.54    1.3053    0.0000
   14     44.64    1.3384    0.0000
   15     47.72    1.4306    0.0000
   16     50.12    1.5027    0.0000
   17     50.89    1.5256    0.0000
   18     52.01    1.5592    0.0000
   19     57.01    1.7090    0.0000
   20     57.83    1.7336    0.0000
   21     60.57    1.8158    0.0000
   22     60.66    1.8184    0.0000
   23     61.86    1.8546    0.0000
   24     68.24    2.0457    0.0000
   25     99.14    2.9721    0.0000
   26    100.66    3.0177    0.0000
   27    101.55    3.0443    0.0000
   28    103.59    3.1055    0.0000
   29    104.13    3.1217    0.0000
   30    105.00    3.1478    0.0000
   31    105.04    3.1491    0.0000
   32    108.47    3.2520    0.0000
   33    111.53    3.3436    0.0000
   34    114.20    3.4236    0.0000
   35    116.23    3.4844    0.0000
   36    116.60    3.4956    0.0000
   37    118.87    3.5635    0.0000
   38    121.10    3.6305    0.0000
   39    130.01    3.8976    0.0000
   40    137.23    4.1140    0.0000
   41    140.40    4.2091    0.0000
   42    146.16    4.3818    0.0000
   43    156.65    4.6963    0.0000
   44    162.51    4.8720    0.0000
   45    177.66    5.3260    0.0000
   46    182.23    5.4631    0.0000
   47    212.61    6.3739    0.0000
   48    214.08    6.4180    0.0000
   49    219.01    6.5659    0.0000
   50    221.41    6.6376    0.0000
   51    279.80    8.3883    0.0000
   52    281.80    8.4481    0.0000
   53    297.65    8.9233    0.0000
   54    306.89    9.2004    0.0000
   55    315.71    9.4646    0.0000
   56    323.69    9.7041    0.0000
   57    375.88   11.2685    0.0000
   58    378.33   11.3422    0.0000
   59    471.59   14.1380    0.0000
   60    474.16   14.2149    0.0000
   61    757.42   22.7068    0.0000
   62    758.31   22.7336    0.0000
   63    824.47   24.7170    0.0000
   64    828.88   24.8492    0.0000
   65    880.93   26.4097    0.0000
   66    881.33   26.4216    0.0000
   67    905.89   27.1578    0.0000
   68    905.95   27.1596    0.0000
